district,municipality,lat,lon,terrain,discharge_donor,district_slope
Sindhupalchok,Sunkoshi,27.7106031,85.8091066,Hilly,kathmandu,43.3
Sindhupalchok,Tripurasundari,27.7482014,85.9494987,Hilly,kathmandu,43.3
Solukhumbu,Khumbu Pasanglhamu,27.6961817,86.716964,Mountain,manang,14.01
Solukhumbu,Likhu Pike,27.5582987,86.3800893,Mountain,manang,14.01
Solukhumbu,Mahakulung,27.6529554,86.8978779,Mountain,manang,14.01
Solukhumbu,Mapya Dudhkoshi,27.5225725,86.6893182,Mountain,manang,14.01
Solukhumbu,Nechasalyan,27.3543206,86.6400039,Mountain,manang,14.01
Solukhumbu,Solududhkunda,27.5733026,86.5851715,Mountain,manang,14.01
Solukhumbu,Sotang,27.517691,86.7751434,Mountain,manang,14.01
Solukhumbu,Thulung Dudhkoshi,27.4277211,86.713777,Mountain,manang,14.01
Sunsari,Barah,26.7290021,87.1735801,Terai,biratnagar,1.64
Sunsari,Dharan,26.8128974,87.2839978,Terai,biratnagar,1.64
Sunsari,Duhabi,26.5523662,87.2424606,Terai,biratnagar,1.64
Sunsari,Gadhi,26.5647768,87.1810161,Terai,biratnagar,1.64
Sunsari,Harinagar,26.4978491,87.1242456,Terai,biratnagar,1.64
Sunsari,Inaruwa,26.5999315,87.1680625,Terai,biratnagar,1.64
Sunsari,Itahari,26.6622505,87.2748964,Terai,biratnagar,1.64
Sunsari,Ramdhuni,26.6930836,87.1715651,Terai,biratnagar,1.64
Taplejung,Aathrai Tribeni,27.3197812,87.6149467,Mountain,manang,9.38
Taplejung,Maiwakhola,27.3861983,87.5020171,Mountain,manang,9.38
Taplejung,Meringden,27.4812695,87.5377969,Mountain,manang,9.38
Taplejung,Mikwakhola,27.5573517,87.6113227,Mountain,manang,9.38
Taplejung,Pathibhara Yangwarak,27.3254631,87.7454564,Mountain,manang,9.38
Taplejung,Phaktanglung,27.6794932,87.9131596,Mountain,manang,9.38
Taplejung,Phungling,27.3586978,87.6727257,Mountain,manang,9.38
Taplejung,Sidingba,27.3610973,87.9399703,Mountain,manang,9.38
Taplejung,Sirijangha,27.4966,87.9653581,Mountain,manang,9.38
Udayapur,Belaka,26.8142636,87.0673835,Hilly,illam,1.04
Udayapur,Chaudandigadhi,26.7978524,86.8704548,Hilly,illam,1.04
Udayapur,Katari,26.962807,86.3705031,Hilly,illam,1.04
Udayapur,Rautamai,26.9754844,86.6786364,Hilly,illam,1.04
Udayapur,Triyuga,26.7901679,86.812581,Hilly,illam,1.04
Udayapur,Udayapurgadhi,26.9070303,86.5388079,Hilly,illam,1.04
Jhapa,Gauradhaha,26.564072,87.715027,Terai,biratnagar,1.31
Kathmandu,Kageshwori Manahora,27.7279083,85.4084253,Hilly,kathmandu,1.67
Sankhuwasabha,Savapokhari,27.4377287,87.3560061,Hilly,illam,2.36
Sindhupalchok,Chautara Sangachokgadhi,27.7513265,85.7267833,Hilly,kathmandu,43.3
Sunsari,Bhokraha Narsingh,26.6069849,87.125895,Terai,biratnagar,1.64
Baglung,Tara Khola,28.42,83.15,Hilly,pokhara,3.84
Dang,Banglachuli,28.05,82.22,Hilly,pokhara,1.04
Rolpa,Paribartan,28.42,82.75,Hilly,pokhara,11.57
Sunsari,Devangunj,26.54,87.16,Terai,biratnagar,1.64
