district,place_name,lat,lon,terrain
Kathmandu,kathmandu,27.7172,85.3240,Hilly
Kaski,pokhara,28.2096,83.9856,Hilly
Ilam,illam,26.9126,87.9296,Hilly
Manang,manang,28.6667,84.0167,Mountain
Morang,biratnagar,26.4525,87.2718,Terai
Banke,nepalgunj,28.0503,81.6158,Terai
Dhanusa,janakpur,26.7288,85.9286,Terai
